"id","temperature","humidity","light","co2","ec","ph","update_time"
546431,"22.05","91.66",21.6,"1055","0.00","6.51","05:14"
546435,"22.02","91.68",21.6,"1057","0.00","6.51","05:15"
546439,"22.03","91.68",24.3,"1056","0.00","6.51","05:16"
546443,"22.01","91.71",27,"1059","0.00","6.51","05:17"
546447,"22.01","91.79",29.700000000000003,"1057","0.00","6.48","05:18"
546451,"22.00","91.81",35.1,"1057","0.00","6.51","05:19"
546455,"22.01","91.87",43.2,"1058","0.00","6.51","05:20"
546459,"21.99","91.94",59.400000000000006,"1058","0.00","6.51","05:21"
546463,"22.00","91.87",67.5,"1059","0.00","6.51","05:22"
546467,"21.98","91.81",75.60000000000001,"1057","0.00","6.51","05:23"
546471,"21.97","91.83",78.30000000000001,"1059","0.00","6.51","05:24"
546475,"21.94","91.82",78.30000000000001,"1043","0.00","6.51","05:25"
546479,"21.95","91.77",75.60000000000001,"1034","0.00","6.51","05:26"
546483,"21.96","91.77",81,"1038","0.00","6.51","05:27"
546487,"21.97","91.86",110.7,"1027","0.00","6.51","05:28"
546491,"21.97","91.91",151.20000000000002,"1033","0.00","6.51","05:29"
546495,"21.96","91.94",162,"1037","0.00","6.51","05:30"
546499,"21.96","91.88",132.3,"1041","0.00","6.51","05:31"
546503,"21.97","91.80",108,"1040","0.00","6.51","05:33"
546507,"21.96","91.45",118.80000000000001,"985","0.00","6.51","05:33"
546511,"21.96","91.31",159.3,"1047","0.00","6.51","05:34"
546515,"21.95","91.34",189,"1035","0.00","6.51","05:36"
546519,"21.96","91.29",229.50000000000003,"1035","0.00","6.51","05:37"
546523,"21.98","91.27",216,"1036","0.00","6.51","05:38"
546527,"22.00","91.19",167.4,"1034","0.00","6.51","05:39"
546531,"21.99","91.24",180.9,"1035","0.00","6.51","05:40"
546535,"22.01","91.25",216,"1039","0.00","6.51","05:41"
546539,"22.00","91.22",272.70000000000005,"1043","0.00","6.51","05:42"
546543,"22.00","91.19",291.6,"1042","0.00","6.51","05:43"
546547,"22.02","91.14",378,"1045","0.00","6.51","05:44"
546551,"22.02","91.14",418.5,"1049","0.00","6.48","05:45"
546555,"22.02","91.09",437.40000000000003,"1047","0.00","6.51","05:46"
546559,"22.01","91.14",472.50000000000006,"1048","0.00","6.51","05:47"
546563,"22.01","91.03",483.3,"1063","0.00","6.51","05:48"
546567,"22.02","91.06",602.1,"1050","0.00","6.51","05:49"
546571,"22.00","91.14",718.2,"1047","0.00","6.48","05:50"
546575,"21.99","91.13",823.5,"1040","0.00","6.51","05:51"
546579,"22.02","91.19",969.3000000000001,"1031","0.00","6.51","05:52"
546583,"22.02","91.09",1080,"960","0.00","6.51","05:53"
546587,"22.03","91.20",1171.8000000000002,"1019","0.00","6.51","05:54"
546591,"22.01","91.25",1166.4,"1081","0.00","6.51","05:55"
546595,"22.02","91.33",980.1,"1100","0.00","6.51","05:56"
546599,"22.02","91.46",972.0000000000001,"1022","0.00","6.51","05:57"
546603,"22.01","91.54",936.9000000000001,"1050","0.00","6.51","05:58"
546607,"22.03","91.58",1096.2,"1013","0.00","6.51","05:59"
546611,"22.03","91.71",1093.5,"1035","0.00","6.51","06:00"
546615,"22.02","91.76",1196.1000000000001,"1043","0.00","6.51","06:01"
546619,"22.02","91.90",1198.8000000000002,"1050","0.00","6.51","06:02"
546623,"22.03","91.95",1163.7,"1067","0.00","6.51","06:03"
546627,"22.03","92.01",1101.6000000000001,"1067","0.00","6.51","06:04"
546631,"22.03","91.95",1204.2,"1064","0.00","6.51","06:05"
546635,"22.04","91.96",1323,"1060","0.00","6.51","06:06"
546639,"22.05","91.93",1541.7,"1034","0.00","6.51","06:07"
546643,"22.07","91.91",1493.1000000000001,"1048","0.00","6.51","06:08"
546647,"22.08","91.94",1590.3000000000002,"1049","0.00","6.51","06:09"
546651,"22.09","91.97",1771.2,"1056","0.00","6.51","06:10"
546655,"22.10","92.00",1738.8000000000002,"1017","0.00","6.54","06:11"
546659,"22.10","92.00",1687.5,"1041","0.00","6.51","06:12"
546663,"22.10","92.00",1652.4,"1062","0.00","6.51","06:13"
546667,"22.11","92.14",1595.7,"1062","0.00","6.51","06:14"
546671,"22.12","92.03",1471.5,"995","0.00","6.51","06:15"
546675,"22.10","92.03",1417.5,"1042","0.00","6.51","06:16"
546679,"22.12","92.06",1323,"1017","0.00","6.51","06:17"
546683,"22.12","92.03",1363.5,"1027","0.00","6.51","06:18"
546687,"22.15","92.09",1487.7,"1031","0.00","6.51","06:19"
546691,"22.15","92.09",1368.9,"1049","0.00","6.51","06:20"
546695,"22.15","92.20",1339.2,"979","0.00","6.51","06:21"
546699,"22.14","92.14",1485,"1022","0.00","6.51","06:22"
546703,"22.17","92.07",1576.8000000000002,"1020","0.00","6.51","06:23"
546707,"22.18","91.94",1795.5000000000002,"1030","0.00","6.51","06:24"
546711,"22.18","91.77",1946.7,"1033","0.00","6.51","06:25"
546715,"22.17","91.83",2016.9,"1038","0.00","6.51","06:26"
546719,"22.18","91.77",2149.2000000000003,"1035","0.00","6.51","06:27"
546723,"22.22","91.78",2268,"1036","0.00","6.51","06:28"
546727,"22.22","91.84",2459.7000000000003,"1036","0.00","6.51","06:29"
546731,"22.25","91.74",2643.3,"1036","0.00","6.51","06:30"
546735,"22.24","91.60",2837.7000000000003,"1036","0.00","6.51","06:31"
546739,"22.24","91.57",2710.8,"1037","0.00","6.51","06:32"
546743,"22.25","91.52",2905.2000000000003,"1034","0.00","6.51","06:33"
546747,"22.26","91.42",3291.3,"1036","0.00","6.51","06:34"
546751,"22.28","91.58",3334.5,"1036","0.00","6.51","06:35"
546755,"22.28","91.42",3523.5000000000005,"1034","0.00","6.51","06:36"
546759,"22.27","91.53",3915.0000000000005,"1034","0.00","6.51","06:37"
546763,"22.30","91.45",4120.2,"1040","0.00","6.51","06:38"
546767,"22.31","91.48",4311.900000000001,"1038","0.00","6.51","06:39"
546771,"22.32","91.57",4325.400000000001,"1044","0.00","6.51","06:40"
546775,"22.33","91.60",4368.6,"1045","0.00","6.51","06:41"
