"id","value","update_time"
1768935,"12732","00:52:40"
1768937,"12732","00:52:50"
1768939,"12733","00:53:00"
1768941,"12732","00:53:10"
1768943,"12731","00:53:20"
1768945,"12732","00:53:30"
1768946,"12732","00:53:40"
1768949,"12731","00:53:50"
1768951,"12733","00:54:00"
1768952,"12732","00:54:10"
1768955,"12733","00:54:20"
1768957,"12733","00:54:30"
1768959,"12733","00:54:40"
1768960,"12732","00:54:50"
1768963,"12732","00:55:00"
1768964,"12731","00:55:10"
1768967,"12732","00:55:20"
1768969,"12732","00:55:30"
1768970,"12732","00:55:40"
1768972,"12732","00:55:50"
1768975,"12732","00:56:00"
1768976,"12732","00:56:10"
1768978,"12731","00:56:20"
1768980,"12732","00:56:30"
1768983,"12732","00:56:40"
1768984,"12732","00:56:50"
1768986,"12732","00:57:00"
1768989,"12732","00:57:10"
1768990,"12732","00:57:20"
1768992,"12733","00:57:30"
1768994,"12732","00:57:40"
1768996,"12731","00:57:50"
1768999,"12732","00:58:00"
1769001,"12732","00:58:10"
1769003,"12732","00:58:20"
1769005,"12731","00:58:30"
1769007,"12732","00:58:40"
1769008,"12731","00:58:50"
1769009,"12731","00:59:00"
1769011,"12731","00:59:10"
1769012,"12731","00:59:20"
1769013,"12732","00:59:30"
1769015,"12732","00:59:40"
1769017,"12731","00:59:50"
1769020,"12732","01:00:10"
1769022,"12731","01:00:20"
1769024,"12731","01:00:30"
1769025,"12731","01:00:40"
1769027,"12731","01:00:40"
1769029,"12731","01:00:50"
1769031,"12730","01:01:10"
1769033,"12730","01:01:10"
1769035,"12730","01:01:20"
1769038,"12730","01:01:40"
1769040,"12730","01:01:50"
1769042,"12730","01:02:10"
1769044,"12730","01:02:10"
1769046,"12730","01:02:20"
1769048,"12730","01:02:40"
1769050,"12730","01:02:40"
1769051,"12730","01:02:50"
1769053,"12729","01:02:50"
1769056,"12729","01:03:20"
1769058,"12729","01:03:20"
1769060,"12730","01:03:30"
1769062,"12730","01:03:50"
1769064,"12731","01:03:50"
1769065,"12731","01:04:00"
1769067,"12730","01:04:00"
1769069,"12731","01:04:20"
1769071,"12731","01:04:30"
1769073,"12731","01:04:30"
1769075,"12731","01:04:40"
1769077,"12731","01:05:00"
1769079,"12731","01:05:10"
1769081,"12731","01:05:10"
1769083,"12730","01:05:30"
1769085,"12730","01:05:40"
1769087,"12731","01:05:40"
1769088,"12730","01:05:50"
1769090,"12730","01:05:50"
1769092,"12730","01:06:10"
1769094,"12730","01:06:20"
1769097,"12731","01:06:40"
1769099,"12730","01:06:50"
1769101,"12730","01:06:50"
1769102,"12731","01:07:00"
1769104,"12731","01:07:10"
1769107,"12731","01:07:30"
1769109,"12731","01:07:40"
1769111,"12731","01:07:50"
1769113,"12731","01:08:00"
1769115,"12731","01:08:10"
1769117,"12731","01:08:20"
1769119,"12731","01:08:30"
1769121,"12731","01:08:40"
1769123,"12731","01:08:50"
1769125,"12731","01:09:00"
1769126,"12731","01:09:10"
1769129,"12732","01:09:20"
1769132,"12731","01:09:30"
1769135,"12732","01:09:40"
1769137,"12731","01:09:50"
1769138,"12731","01:10:00"
1769140,"12731","01:10:10"
1769144,"12731","01:10:20"
1769147,"12731","01:10:30"
1769149,"12731","01:10:40"
1769151,"12732","01:10:50"
1769153,"12731","01:11:00"
1769155,"12731","01:11:10"
1769157,"12731","01:11:20"
1769159,"12732","01:11:30"
1769161,"12732","01:11:40"
1769163,"12732","01:11:50"
1769166,"12732","01:12:00"
1769167,"12732","01:12:10"
1769170,"12732","01:12:20"
1769172,"12732","01:12:30"
1769173,"12732","01:12:40"
1769175,"12732","01:12:50"
1769177,"12731","01:13:00"
1769180,"12732","01:13:10"
1769181,"12732","01:13:20"
1769183,"12731","01:13:30"
1769185,"12732","01:13:40"
1769187,"12732","01:13:50"
1769189,"12732","01:14:00"
1769192,"12731","01:14:10"
1769194,"12731","01:14:20"
1769195,"12730","01:14:30"
1769197,"12731","01:14:40"
1769200,"12731","01:14:50"
1769201,"12731","01:15:00"
1769203,"12730","01:15:10"
1769205,"12731","01:15:20"
1769207,"12731","01:15:30"
1769209,"12732","01:15:40"
1769211,"12731","01:15:50"
1769213,"12731","01:16:00"
1769215,"12731","01:16:10"
1769217,"12731","01:16:20"
1769219,"12730","01:16:30"
1769221,"12731","01:16:40"
1769223,"12731","01:16:50"
1769225,"12731","01:17:00"
1769227,"12731","01:17:10"
1769229,"12731","01:17:20"
1769231,"12731","01:17:30"
1769233,"12731","01:17:40"
1769235,"12731","01:17:50"
1769237,"12731","01:18:00"
1769239,"12731","01:18:10"
1769241,"12730","01:18:20"
1769243,"12729","01:18:30"
1769245,"12729","01:18:40"
1769247,"12729","01:18:50"
1769249,"12730","01:19:00"
1769251,"12731","01:19:10"
1769253,"12730","01:19:20"
1769255,"12730","01:19:30"
1769257,"12730","01:19:40"
1769259,"12729","01:19:50"
1769261,"12729","01:20:00"
1769264,"12729","01:20:10"
1769267,"12729","01:20:20"
1769269,"12729","01:20:30"
1769272,"12729","01:20:40"
1769274,"12729","01:20:50"
1769276,"12729","01:21:00"
1769278,"12729","01:21:10"
1769280,"12729","01:21:20"
1769283,"12729","01:21:30"
1769286,"12729","01:21:40"
1769287,"12729","01:21:50"
1769289,"12729","01:22:00"
1769290,"12728","01:22:10"
1769292,"12729","01:22:20"
1769294,"12728","01:22:30"
1769296,"12729","01:22:40"
1769298,"12729","01:22:50"
1769300,"12729","01:23:00"
1769302,"12728","01:23:10"
1769304,"12729","01:23:20"
1769306,"12728","01:23:30"
1769308,"12728","01:23:40"
1769310,"12728","01:23:50"
1769312,"12728","01:24:00"
1769314,"12728","01:24:10"
1769316,"12728","01:24:20"
1769318,"12727","01:24:30"
1769320,"12728","01:24:40"
1769322,"12727","01:24:50"
1769324,"12728","01:25:00"
1769326,"12728","01:25:10"
1769328,"12728","01:25:20"
1769329,"12728","01:25:30"
1769332,"12728","01:25:40"
1769334,"12728","01:25:50"
1769336,"12728","01:26:00"
1769338,"12728","01:26:10"
1769340,"12728","01:26:20"
1769342,"12728","01:26:30"
1769344,"12728","01:26:40"
1769346,"12728","01:26:50"
1769348,"12727","01:27:00"
1769350,"12727","01:27:10"
1769352,"12726","01:27:20"
1769354,"12727","01:27:30"
1769356,"12728","01:27:40"
1769358,"12727","01:27:50"
1769360,"12727","01:28:00"
1769362,"12728","01:28:10"
1769364,"12728","01:28:20"
1769366,"12727","01:28:30"
1769367,"12726","01:28:40"
1769370,"12727","01:28:50"
1769372,"12728","01:29:00"
1769373,"12727","01:29:10"
1769376,"12728","01:29:20"
1769377,"12727","01:29:30"
1769380,"12727","01:29:40"
1769381,"12727","01:29:50"
1769383,"12727","01:30:00"
1769385,"12728","01:30:10"
1769387,"12728","01:30:20"
1769389,"12728","01:30:30"
1769392,"12728","01:30:40"
1769394,"12728","01:30:50"
1769396,"12728","01:31:00"
1769398,"12727","01:31:10"
1769401,"12728","01:31:20"
1769403,"12727","01:31:30"
1769405,"12727","01:31:40"
1769407,"12727","01:31:50"
1769408,"12727","01:32:00"
1769409,"12727","01:32:10"
1769411,"12727","01:32:20"
1769413,"12727","01:32:30"
1769415,"12728","01:32:40"
1769417,"12727","01:32:50"
1769420,"12728","01:33:00"
1769421,"12727","01:33:10"
1769422,"12727","01:33:20"
1769423,"12727","01:33:30"
1769425,"12727","01:33:40"
1769427,"12727","01:33:50"
1769429,"12728","01:34:00"
1769431,"12727","01:34:10"
1769433,"12726","01:34:20"
1769435,"12727","01:34:30"
1769437,"12728","01:34:40"
1769438,"12727","01:34:50"
1769440,"12728","01:34:50"
1769442,"12727","01:35:00"
1769444,"12728","01:35:10"
1769446,"12727","01:35:20"
1769449,"12726","01:35:40"
1769450,"12727","01:35:50"
1769452,"12726","01:35:50"
1769455,"12727","01:36:20"
1769457,"12727","01:36:20"
1769459,"12727","01:36:30"
1769461,"12727","01:36:50"
1769463,"12727","01:36:50"
1769464,"12726","01:37:00"
1769466,"12726","01:37:00"
1769469,"12725","01:37:30"
1769471,"12725","01:37:30"
1769475,"12727","01:38:00"
1769477,"12727","01:38:20"
